DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,52311,$50K,Below 50K
DEPARTMENT OF CITYWIDE ADM,10209,$00K,Below 50K
POLICE DEPARTMENT,71012,$40K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,56056,$30K,Below 50K
CUNY QUEENSBOROUGH COMMUNI,4607,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,402,$30K,Below 50K
N.Y.C. TRANSIT AUTHORITY,00T07,$60K,Above 50K
DEPARTMENT OF ENVIRONMENTA,34202,$60K,Above 50K
DEPARTMENT OF SANITATION,10009,$80K,Above 50K
HRA/DEPARTMENT OF SOCIAL S,10104,$30K,Below 50K
N.Y.C. HOUSING AUTHORITY,90645,$30K,Below 50K
DEPARTMENT OF ENVIRONMENTA,91628,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,217,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,912,$60K,Above 50K
N.Y.C. HOUSING AUTHORITY,90645,$30K,Below 50K
DEPARTMENT FOR THE AGING,52441,$00K,Below 50K
CUNY KINGSBOROUGH COMMMUNI,4097,$100K,Above 50K
HRA/DEPARTMENT OF SOCIAL S,10026,$110K,Above 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
DEPARTMENT OF HEALTH AND M,21744,$50K,Below 50K
DEPARTMENT OF CORRECTION,70410,$50K,Below 50K
OFFICE OF ADMINISTRATIVE T,30087,$70K,Above 50K
FIRE DEPARTMENT,70310,$70K,Above 50K
N.Y.C. TRANSIT AUTHORITY,650,$60K,Above 50K
HRA/DEPARTMENT OF SOCIAL S,52316,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,253,$60K,Above 50K
CUNY LAGUARDIA COMMUNITY C,4024,$70K,Above 50K
FIRE DEPARTMENT,53053,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,734,$70K,Above 50K
DEPARTMENT OF HEALTH AND M,1002,$110K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
HRA/DEPARTMENT OF SOCIAL S,10050,$150K,Above 50K
OFFICE OF THE COMPTROLLER,10001,$150K,Above 50K
DEPARTMENT OF EDUCATION,51221,$60K,Above 50K
HRA/DEPARTMENT OF SOCIAL S,95005,$110K,Above 50K
POLICE DEPARTMENT,7021B,$90K,Above 50K
DEPARTMENT OF FINANCE,40523,$50K,Below 50K
DISTRICT ATTORNEY-NEW YORK,56057,$40K,Below 50K
DEPARTMENT OF FINANCE,10251,$40K,Below 50K
LAW DEPARTMENT,30080,$00K,Below 50K
DEPARTMENT OF TRANSPORTATI,92406,$00K,Below 50K
FIRE DEPARTMENT,53053,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,609,$60K,Above 50K
POLICE DEPARTMENT,7021B,$90K,Above 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
OFFICE OF MANAGEMENT AND B,0608A,$100K,Above 50K
N.Y.C. TRANSIT AUTHORITY,325,$60K,Above 50K
DEPARTMENT OF HOMELESS SER,10056,$130K,Above 50K
DEPARTMENT OF EDUCATION,10251,$30K,Below 50K
POLICE DEPARTMENT,60817,$30K,Below 50K
N.Y.C. HOUSING AUTHORITY,90645,$30K,Below 50K
DEPARTMENT OF EDUCATION,50910,$60K,Above 50K
POLICE DEPARTMENT,71651,$30K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,52314,$40K,Below 50K
DEPARTMENT OF TRANSPORTATI,20310,$50K,Below 50K
DEPARTMENT OF EDUCATION,51221,$60K,Above 50K
DEPARTMENT OF CITYWIDE ADM,10209,$00K,Below 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,412,$60K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
POLICE DEPARTMENT,70210,$50K,Below 50K
DEPARTMENT OF EDUCATION,51222,$60K,Above 50K
DEPARTMENT OF HEALTH AND M,1002A,$60K,Above 50K
DEPARTMENT OF ENVIRONMENTA,20310,$70K,Above 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
FIRE DEPARTMENT,10251,$40K,Below 50K
DEPARTMENT OF SANITATION,70112,$60K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
DEPARTMENT OF INFORMATION,13621,$70K,Above 50K
CUNY BRONX COMMUNITY COLLE,4294,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,687,$70K,Above 50K
NYC EMPLOYEES' RETIREMENT,40493,$60K,Above 50K
OFFICE OF THE COMPTROLLER,40502,$60K,Above 50K
